Blueste,BrDale,BrkSide,ClearCr,CollgCr,Crawfor,Edwards,Gilbert,IDOTRR,MeadowV,Mitchel,NAmes,NPkVill,NWAmes,NoRidge,NridgHt,OldTown,SWISU,Sawyer,SawyerW,Somerst,StoneBr,Timber,Veenker,SalePrice_log,ExterQual_enc,BsmtQual_enc,KitchenQual_enc,OverallQual,GrLivArea_scaled,TotalBsmtSF_scaled,GarageCars_scaled,1stFlrSF_scaled
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.319106059309776,2,2,2,7,0.4135472163019127,-0.4430779093211504,0.3070397640943406,-0.7738610250965184
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.258876629372131,4,2,4,6,-0.4718906513878417,0.47746322143133596,0.3070397640943406,0.26107477608525587
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.349277527467955,2,2,2,7,0.5637554259992817,-0.29796797737987174,0.3070397640943406,-0.6107184357476674
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.146128035678238,4,4,2,7,0.4273821829845651,-0.6698121779793983,1.61926388033355,-0.5062052144460596
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.3979400086720375,2,2,2,8,1.3780420364639665,0.21218412710118595,1.61926388033355,-0.037170270068112604
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.155336037465061,4,2,4,5,-0.2742482702070929,-0.5791184705160991,0.3070397640943406,-0.9268072026110664
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.487138375477186,2,0,2,8,0.3819244353129929,1.438816520542307,0.3070397640943406,1.362287254190001
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.301029995663981,4,2,4,7,1.164588264788758,0.12602510501105177,0.3070397640943406,-0.13403618249399296
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.113609151073028,4,4,4,7,0.5400383402575919,-0.22541301140923245,0.3070397640943406,-0.35070993397293587
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.071882007306125,4,4,4,5,-0.8375290565722269,-0.13698664663251578,-1.005184352144869,-0.21050927125126692
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.112269768417271,4,4,4,5,-0.9106567376091039,-0.02588685498997431,-1.005184352144869,-0.3048260807185715
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.537819095073274,0,0,0,9,1.62707143675171,0.2802044076986603,1.61926388033355,0.05714653939919196
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.158362492095249,4,4,4,5,-1.1636389855204623,-0.3161067188725316,-1.005184352144869,-0.6311112594162738
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.446381812222442,2,2,2,7,-0.013360327048504598,1.0034867247184711,1.61926388033355,0.8524666624748413
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.195899652409234,4,4,4,6,-0.48967846569410906,0.4570571372520936,-1.005184352144869,0.23813284945807367
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12057393120585,4,4,4,7,-1.2782715666052966,-0.4974941337991299,0.3070397640943406,-0.77895923101367
